batch,mae,supervise
0,0.014438258,0.014438258
1,0.027590524,0.027012296
2,0.009423381,0.009848646
3,0.018489627,0.01857698
4,0.032399256,0.034480054
5,0.031971764,0.032375086
6,0.025443254,0.025406403
7,0.01185984,0.012364205
8,0.02032005,0.020672129
9,0.01333934,0.013843837
10,0.027280977,0.028525356
11,0.021778686,0.021637591
12,0.011406517,0.010607443
13,0.002145709,0.002612422
14,0.013812862,0.013275238
15,0.029617997,0.028729109
16,0.003228102,0.003693764
17,0.026625577,0.022721238
18,0.011327744,0.01251677
19,0.010466803,0.009436721
20,0.020325057,0.018465666
21,0.010532916,0.010550765
22,0.010935753,0.009094834
23,0.011822709,0.010800352
24,0.008112088,0.006389929
25,0.037889268,0.032742526
26,0.017370984,0.014225012
27,0.011628822,0.010550261
28,0.005231865,0.004761141
29,0.005521733,0.004628955
30,0.006828871,0.006369348
31,0.006553467,0.005811604
32,0.014990564,0.012628595
33,0.018959345,0.015543825
34,0.008675072,0.007368822
35,0.006893575,0.006384851
36,0.013182354,0.01069079
37,0.018989203,0.015798211
38,0.007558176,0.00606574
39,0.007516859,0.006182756
40,0.00744878,0.007482329
41,0.008480906,0.006112468
42,0.00340468,0.003038738
43,0.005759622,0.006292136
44,0.008229963,0.007935034
45,0.006544569,0.006167856
46,0.003254939,0.003323772
47,0.006748292,0.005233949
48,0.006093542,0.0056005
49,0.005999004,0.005634966
50,0.006583051,0.006078667
51,0.002847299,0.002586843
52,0.012176445,0.011406126
53,0.012492054,0.012608341
54,0.006301228,0.005888919
55,0.00642926,0.006368618
56,0.003253087,0.003416973
57,0.002401664,0.002547136
58,0.004462433,0.003828625
59,0.009804029,0.008327634
60,0.009166228,0.008576834
61,0.007806624,0.007588672
62,0.005070949,0.004474862
63,0.00189772,0.001924253
64,0.005816448,0.005540662
65,0.007354024,0.006417681
66,0.004639246,0.004407505
67,0.00397985,0.004009639
68,0.004832626,0.004479137
69,0.006429179,0.006043386
70,0.009291613,0.008327007
71,0.004877853,0.004040219
72,0.002584278,0.002866773
73,0.003908854,0.004343884
74,0.002635554,0.002526335
75,0.007526559,0.007130699
76,0.006060168,0.005494238
77,0.008950087,0.008509705
78,0.00413951,0.004143488
79,0.007020809,0.006745506
80,0.005084299,0.004697425
81,0.004265058,0.003936108
82,0.005533719,0.00571723
83,0.007734848,0.007822742
84,0.001851701,0.00198356
85,0.006589985,0.005660759
86,0.01397763,0.013758964
87,0.00232371,0.002276503
88,0.008604912,0.008301778
89,0.005686102,0.00577933
90,0.007078302,0.006516975
91,0.004639885,0.004436356
92,0.001834508,0.001864227
93,0.003795749,0.003629242
94,0.004833692,0.004767352
95,0.00258702,0.00255823
96,0.002057936,0.002356551
97,0.008789345,0.008126851
98,0.005635371,0.00547432
99,0.002100982,0.002291941
100,0.002129492,0.002242263
101,0.003379071,0.003414074
102,0.005808018,0.005461073
103,0.004521225,0.005167922
104,0.007592361,0.007470169
105,0.003143421,0.003057854
106,0.003628674,0.003685041
107,0.002419497,0.002690647
108,0.005894228,0.005685208
109,0.004939136,0.005206544
110,0.007439442,0.007484908
111,0.005218972,0.005418377
112,0.003588091,0.00384284
113,0.003652515,0.003615357
114,0.005060636,0.005146532
115,0.002708491,0.002643831
116,0.00435369,0.004401626
117,0.007422028,0.007900245
118,0.004573073,0.004332158
119,0.003235508,0.003779617
120,0.004391348,0.004346439
121,0.002124658,0.002217336
122,0.003117729,0.003479755
123,0.004949476,0.004721273
124,0.003318975,0.003478886
125,0.002518796,0.00249769
126,0.004410849,0.00434246
127,0.002935085,0.00283677
128,0.005636354,0.005467745
129,0.003668561,0.003609706
130,0.003526296,0.003632251
131,0.002824082,0.002721702
132,0.002113981,0.002080259
133,0.002530695,0.002843008
134,0.002469968,0.002311524
135,0.002387929,0.002409927
136,0.002826987,0.002935704
137,0.00281953,0.002835743
138,0.003551303,0.003747873
139,0.002131124,0.002114613
140,0.003516325,0.003465765
141,0.007242419,0.006971512
142,0.001893156,0.002166242
143,0.005882905,0.006383761
144,0.003529907,0.003613026
145,0.004732737,0.004434493
146,0.003912978,0.003755857
147,0.00229014,0.002292193
148,0.002911234,0.002872626
149,0.003846733,0.003707006
150,0.001600317,0.001616182
151,0.002601101,0.00272441
152,0.002453501,0.002672195
153,0.002261207,0.002381839
154,0.003816858,0.003828332
155,0.004673156,0.004511066
156,0.005000728,0.005280179
157,0.003059083,0.00282142
158,0.00610303,0.006011868
159,0.002459828,0.00271839
160,0.004789418,0.004667397
161,0.00463025,0.004964213
162,0.001755828,0.001710394
163,0.001749027,0.00180719
164,0.004208104,0.004165086
165,0.001981624,0.002051065
166,0.003132048,0.003000203
167,0.002319936,0.002212426
168,0.003512968,0.003665683
169,0.00294712,0.003059995
170,0.008032553,0.00691495
171,0.001725933,0.002134274
172,0.001620081,0.001747196
173,0.002447811,0.002361946
174,0.017793084,0.017270608
175,0.002976243,0.0026196
176,0.003060252,0.002833436
177,0.001502509,0.001459851
178,0.003697744,0.003450679
179,0.006091826,0.005894891
180,0.002247084,0.002283478
181,0.001729778,0.001681546
182,0.001187657,0.001166721
183,0.002096317,0.00212144
184,0.003984911,0.003738867
185,0.001770448,0.00165707
186,0.003812043,0.003459465
187,0.001594999,0.001471145
188,0.001811536,0.00189651
189,0.012690751,0.012321251
190,0.007704006,0.007316176
191,0.006488572,0.006146066
192,0.007588841,0.00757099
193,0.00406522,0.003658699
194,0.002099677,0.002317575
195,0.001793575,0.001762778
196,0.012234703,0.012269356
197,0.00958954,0.008981833
198,0.002494047,0.00248847
199,0.00212998,0.002015799
200,0.003428289,0.003192346
201,0.002254381,0.002072664
202,0.00195314,0.001993016
203,0.002856384,0.002564978
204,0.002119258,0.001950206
205,0.002683548,0.002635585
206,0.00248205,0.002273534
207,0.002574643,0.00248062
208,0.001300456,0.001427024
209,0.001762663,0.001548571
210,0.002123886,0.001961631
211,0.003813606,0.003620355
212,0.005206876,0.005263825
213,0.003972923,0.003841765
214,0.008419625,0.007800536
215,0.004215701,0.00381586
216,0.002420465,0.002338609
217,0.007162352,0.006634965
218,0.001712034,0.001750538
219,0.005013703,0.004647306
220,0.001527509,0.001489853
221,0.005977667,0.005413003
222,0.004004858,0.004050497
223,0.001880186,0.001711295
224,0.003329828,0.002969441
225,0.001558932,0.001571219
226,0.002670373,0.002722238
227,0.003108248,0.002995343
228,0.003135304,0.002838984
229,0.003500435,0.003163447
230,0.002330436,0.00228044
231,0.011148144,0.010545367
232,0.003190536,0.002965193
233,0.003874715,0.003223754
234,0.003416199,0.003073303
