step,with_ch_coding,wo_ch_coding
0,0.050958186,0.041165899
1,0.049530141,0.04701091
2,0.060248256,0.042961963
3,0.042376559,0.040583342
4,0.041448336,0.041459057
5,0.048601769,0.036825623
6,0.045166105,0.043965653
7,0.055362497,0.042298049
8,0.044465352,0.039513592
9,0.039150238,0.037488524
10,0.050114777,0.047954466
11,0.040501393,0.039426878
12,0.052200105,0.042129152
13,0.042369369,0.039200984
14,0.044051815,0.039811417
15,0.045358196,0.046133615
16,0.054090083,0.040296175
17,0.056686904,0.046192143
18,0.043223541,0.040336769
19,0.043033294,0.039931592
20,0.035648581,0.034743764
21,0.040376663,0.037263427
22,0.042941105,0.040711891
23,0.069524318,0.043870218
24,0.051839769,0.038894806
25,0.040586691,0.040278263
26,0.037094325,0.037271548
27,0.046438131,0.041069258
28,0.044818409,0.041487753
29,0.047290672,0.048868183
30,0.041592233,0.042788368
31,0.044972077,0.04305394
32,0.044964913,0.043257456
33,0.045477405,0.042096566
34,0.083570041,0.044194281
35,0.03933765,0.03855487
36,0.045415778,0.042146917
37,0.039820239,0.042361479
38,0.042439487,0.040442429
39,0.047596667,0.047308922
40,0.041524269,0.03800841
41,0.041218802,0.041221127
42,0.042368632,0.039776608
43,0.043375887,0.041054931
44,0.038878728,0.037407316
45,0.044389665,0.043770574
46,0.05548485,0.043098502
47,0.051507309,0.042232055
48,0.03917871,0.036334489
49,0.037684448,0.036287956
50,0.037565242,0.036617044
51,0.044419765,0.041926753
52,0.043787889,0.042365856
53,0.04551043,0.043925583
54,0.042007938,0.046174463
55,0.038976882,0.039934084
56,0.042552266,0.04001547
57,0.049743693,0.045357294
58,0.045411997,0.047210138
59,0.047399875,0.044161174
60,0.045140479,0.045473073
61,0.040283095,0.039817307
62,0.039934974,0.036945082
63,0.044406746,0.043867968
64,0.051955104,0.041186381
65,0.042304743,0.040365759
66,0.056578178,0.042597346
67,0.041764606,0.03863642
68,0.039671309,0.039385673
69,0.041545037,0.041069288
70,0.038081549,0.035409961
71,0.052020039,0.046931561
72,0.043424502,0.038532458
